,Organization,Contact,Address/Telephone/Email
1,Balanced LIfe Christian Center,Pastor David Olatona,"160 S. 4th Avenue
Mount Vernon, NY 10550
914-316-2063"
2,Beulah Church of God 7th Day,"Pastor Basil Streiker 
Ruthann Harrison
","986 E. Gunhill Road
Bronx, New York 10469
Tel: 917-579-4624
Tel: 718-581-8110"
3,Cathedral of Life Church of God,Pastor Blanca Colon,"3317 112th Street
Corona, NY 11368
Tel. 516-807-2563"
4,Christ Purpose Restoration,Pastor Stan Lewis,"107 East Fifth Street
Mount Vernon, NY 10553
914-494-7000"
5,Elim Restoration Church of God,Pastor Alphanso Smith,"188 E 53rd Street
Brooklyn New York 11203
347 - 319 - 0610"
6,Freedom Worship Center,Pastor Raymond John,"834 Adee Avenue
Bronx, NY 10467
914-391-1372"
7,Full Truth Church of God Deliverance Center,Pastor Elaine Folkes,"862 213th Street 
Bronx, NY 10467 
Tel. 914-230-9137"
8,Gospel Assembly Church,Bishop L. G. Blake Dalsey Brooks,"3821 Bronxwood Avenue, 
Bronx, NY 10469
 718-405-2420 347-778-8795"
9,Grace & Peace Church,"Pastor Eddie & Ida Diaz
Contact: Elder Ralph","348 White Plains Rd.
Bronx, NY 10473
718-924-8839"
10,Grace Assembly Deliverance Temple,Bishop Jeffeth Baker,"3827 Boston Road
Bronx, NY 10466
646-533-4059"
11,Holiness Christian Church,"Pastor Alvin Newton 
Contact: Angela Brown","975 Burke Avenue
 Bronx, New York 10469
929-365-5291"
12,New Testament Temple Church of God,Pastor Paul Peart,"3350 Seymour Avenue 
Bronx, NY 10469 718-652-3288"
13,"New York City Council Member Andy King
District Office",Elijah Nwaakocha,"940 East Gunhill Road
Bron, NY 10469
347-449-9286
718-684-5509"
14,Praise Temple Apostolic,Bishop V. Clarke,"2447 White Plains Road
Bronx, NY 10467
917-807-3392/718-652-2862"
15,Rehoboth House of Praise Church of God,"Pastor Junior Rhodes
Contact: Taisha Henry","199-24 Linden Boulevard
St. Albans NY 11412
Tel. 718-527-0121"
16,St. Mary's Episcopal Church,Genevieve Peters,"411 East 143rd Street
Bronx, New York 10454
646-286-2219"
17,Tabernacle of Restoration,"Pastor Vincent Omusi
Contact:  Brother Dapo","4640 Furman Avenue
Bronx, New York 10470
646-765-8504"
17,The International Evangelical Mission Ministries,"Bishop Verona Cameron 
Dr. Kevin V. Lee, Administrator & General Secretary","207-02 Hollis Avenue 
Queens Village 
New York 11429 
Tel. 718-839-0221 T
el. 845-200-0233 T
el. 718-456-7631"
18,Woodycrest  Church of God,"Pastor Julian Stephenson
","923 Woodycrest Avenue
Bronx, New YOrk 10452
"
19,Zion Triumphant Gospel International Ministry,"Pastor Joy Patterson 
Dr. Kevin V. Lee Administrator & General 
Secretary 845-200-0233 718-465-7631 ","3954 Bronxwood Avenue, Bronx, NY 10466 Tel. 914-226-1625"
